Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
C2,0805,1,2.2uF,
D+,TestPoint_Pad_1.5x1.5mm,1,D+,
D-,TestPoint_Pad_1.5x1.5mm,1,D-,
J1,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_2x03_P2.54mm_Vertical,1,PWR,
J4,PinHeader_1x02_P2.54mm_Vertical,1,DATA,
J5,IDC-Header_2x05_P2.54mm_Vertical,1,ribbon,
"R1, R2",0805,2,5.1k,
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
U1,SOT-223-3_TabPin2,1,TLV76133DCY,
U2,SOT-23-6,1,USBLC6-2SC6,
