Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0805,4,0.1uF,
C5,0805,1,1uF,
"D1, D2, D3, D4, D5",0805,5,LED,
J1,IDC-Header_2x05_P2.54mm_Vertical,1,ribbon,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J3, J4, J5, J6, J7, J8, J9",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,24,Conn_01x02,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05,
J27,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J28,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R19, R2",0805,3,10k,
"R10, R11, R12, R13, R14, R15, R16, R5, R6, R7, R8, R9",0805,12,0,
"R17, R3, R4",0805,3,2.2k,
R18,0805,1,4.7k,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
"U2, U3",SOIC-16_3.9x9.9mm_P1.27mm,2,ULN2003A,
